image_name,partition
0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,train
100_png.rf.1d10e5312c53cc3fb4e0bf319dd466ba.jpg,train
102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,train
103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,train
104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,train
105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,train
106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,train
108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,train
109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,train
10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,train
10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,train
10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,train
110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,train
112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,train
113_png.rf.5843d20115f51d7d26f2cf52734504d3.jpg,train
114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,train
116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,train
117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,train
119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,train
11f_png.rf.eb0169eccfb6b264a582491457ff37b6.jpg,train
11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,train
11_png.rf.6b73a508e3eafaac95768aae9325dabc.jpg,train
120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,train
122_png.rf.7df85841dad9a1f2d79c7f510f562052.jpg,train
123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,train
124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,train
125_png.rf.746e605d23baaa43560542b8554b714c.jpg,train
127_png.rf.9f6501b0ba0e856cf6dd9e59f65ce574.jpg,train
128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,train
129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,train
12f_png.rf.5a7e571b0b0c0eef39ae35682db8394f.jpg,train
12t_png.rf.80855510c9a4d8a3a88e103ed8baeeb7.jpg,train
12_png.rf.9071d30b04e7162eeae5abb28b0ff82c.jpg,train
130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,train
131_png.rf.593310c39f8835ed0786033b6690de45.jpg,train
132_png.rf.071b2e2111df71728a6b770afd959117.jpg,train
133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,train
135_png.rf.8a27e2add3109c3d2fc762fd95669219.jpg,train
138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,train
139_png.rf.3b1d0480bfeb169028854cb472ea5f25.jpg,train
13a_png.rf.b63780972f2990e77bbc2889190bd191.jpg,train
13t_png.rf.6106fd96f4902de298dac63ac73ac264.jpg,train
13_png.rf.6997e656c43b72e712856bc7557bedf9.jpg,train
141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,train
142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,train
143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,train
145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,train
146_png.rf.8c716f42d6929f1b4c27cbfde0544e05.jpg,train
147_png.rf.f75092db32c867f5974bd801ebff4919.jpg,train
148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,train
149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,train
14a_png.rf.81c6d6e6686127d4274b4b8bbf8256b7.jpg,train
14t_png.rf.3c97b229d4e5a2823995bdb9dbd1db76.jpg,train
150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,train
151_png.rf.dded9697689a87303c84573468e354a9.jpg,train
152_png.rf.278ae564b1c981f43016889a9c3240e6.jpg,train
153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,train
154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,train
156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,train
157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,train
158_png.rf.26ee57b4f05c15fe87b27ed170cd79b2.jpg,train
159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,train
15a_png.rf.d7f7746ea5afb68e6b42346c4990fa43.jpg,train
15t_png.rf.0c6ff91ce5b83c01c4f9b1acefae2d71.jpg,train
15_png.rf.f28eaebb6a7dae29a59dd6b9d28ea7d5.jpg,train
