query_idx,query_name,mse_rank1_name,mse_rank1_score,ssim_rank1_name,ssim_rank1_score,mse_rank2_name,mse_rank2_score,ssim_rank2_name,ssim_rank2_score,mse_rank3_name,mse_rank3_score,ssim_rank3_name,ssim_rank3_score,mse_rank4_name,mse_rank4_score,ssim_rank4_name,ssim_rank4_score,mse_rank5_name,mse_rank5_score,ssim_rank5_name,ssim_rank5_score
0,107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,0.06608546337043468,106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,0.9300918579101562,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,0.1033363023098563,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,0.8946040272712708,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.12034902137611869,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,0.8736310601234436,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,0.12437523799738356,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.8425347805023193,24f_png.rf.ee5f961ec533993bb9907fa09380d92a.jpg,0.1547690247849014,24f_png.rf.ee5f961ec533993bb9907fa09380d92a.jpg,0.8356790542602539
1,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,151_png.rf.dded9697689a87303c84573468e354a9.jpg,0.876004970831331,171_png.rf.e0f78688a6d730302708d2eec60a4bdf.jpg,0.3164879381656647,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,0.9615794804569913,151_png.rf.dded9697689a87303c84573468e354a9.jpg,0.30839788913726807,1a_png.rf.17bf9820312efff2213b1d1b08ffad66.jpg,0.9714233214711986,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.2924882471561432,86_png.rf.ed680afb145347de62fa9e5dd2b90bbe.jpg,0.9778236035821204,139_png.rf.3b1d0480bfeb169028854cb472ea5f25.jpg,0.2881629765033722,91_png.rf.d78bae1b26a617eb6363e4345800eb54.jpg,1.0081301664972684,73_png.rf.16191fc07ebda5e8a83294c9c4fbd4bb.jpg,0.2852933704853058
2,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,0.06499397584704932,116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,0.9183762669563293,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.06673885473445788,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.9042890071868896,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.11031689445718697,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.8737999796867371,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.13257027268534177,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.855576753616333,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,0.1648658206041,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,0.7601213455200195
3,118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,0.7885611264231192,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.3317826986312866,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,0.8336319556675181,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,0.330917626619339,1a_png.rf.17bf9820312efff2213b1d1b08ffad66.jpg,0.8414804147211002,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.3243776261806488,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.8574391783650277,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.31730759143829346,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.8647283817130055,169_png.rf.db5c4e716dac3be45044ffb904f0202d.jpg,0.31679919362068176
4,134_png.rf.eafc70891a991c969df70bd817a63375.jpg,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.02107010728437118,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9360268115997314,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.021407180094795954,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9357849955558777,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.025182056115035566,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.9301366806030273,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.02641328955131515,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.9286072850227356,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.027030398498091735,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.9229910373687744
5,136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.02087638085861307,138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,0.9389294981956482,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.022726817975786788,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9347031116485596,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.025379515632337465,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9285985827445984,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.026575779470014365,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.9273365139961243,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.027344926493514034,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.9270806908607483
6,140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.07185168278202902,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.9108009338378906,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.08221198931247899,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.8943762183189392,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.0856059939885387,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.8909728527069092,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.09560101432225623,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.8889884352684021,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.10641168208220302,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.8755722045898438
7,144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.021602090757065744,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.9696657061576843,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.022834965686843095,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9334540963172913,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.025226146663778672,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9293598532676697,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.026352980502767562,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.9285747408866882,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.02678663040699349,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.9269235134124756
8,181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,186_png.rf.6e7fc2cce220b40aa716f4d90902659a.jpg,1.0501026455317612,82_png.rf.d084be48b241d855d5a48b16f9595b2a.jpg,0.2942902743816376,168_png.rf.9624724987837b5f2876222d5229cbb0.jpg,1.069581700386959,81_png.rf.7783c33301fcb8871d6013ca6a4eb879.jpg,0.2913432717323303,14a_png.rf.81c6d6e6686127d4274b4b8bbf8256b7.jpg,1.1207639416945954,83_png.rf.660e765884a44b4f58b54170810c4888.jpg,0.2806107699871063,184_png.rf.a6c6949a3896015ff99ada47dc75393b.jpg,1.1686655512310657,84_png.rf.ce54014b2da8c78d7c8d54001ffdf576.jpg,0.2801778018474579,88_png.rf.b58437827b6f9fab3cebf868795b9e21.jpg,1.1732716534010164,80_png.rf.6c9e5b41ab30f9b3891c82322220421c.jpg,0.2795582711696625
9,185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,187_png.rf.b5c19d9e137330a99f4a5885ac5c7d73.jpg,0.6857269678631769,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,0.3153814375400543,5a_png.rf.bae1d48b3d2d96a990799b836ecebcbb.jpg,0.7258825300839097,8a_png.rf.d4bd36f20fb980c22c7f33948a375e2a.jpg,0.3114345371723175,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,0.7396799511739321,179_png.rf.61fcb6e012295881e5f82e05b6d15283.jpg,0.3013637661933899,8a_png.rf.d4bd36f20fb980c22c7f33948a375e2a.jpg,0.7602060886118347,5a_png.rf.bae1d48b3d2d96a990799b836ecebcbb.jpg,0.29991573095321655,1a_png.rf.17bf9820312efff2213b1d1b08ffad66.jpg,0.7819028495255003,156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,0.2968367338180542
10,1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.3268998766663419,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.6660261154174805,92_png.rf.5436107fa80a186911267011f1bad05e.jpg,0.3605289739756938,92_png.rf.5436107fa80a186911267011f1bad05e.jpg,0.655794084072113,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.5344450643250109,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.5423031449317932,68_png.rf.2abffb51d52abb9355fb9037922c7535.jpg,1.66586063717073,20_png.rf.52c78aebcebbb16b65b30edf6e6dc4a5.jpg,0.20651821792125702,59_png.rf.4a6785ea55d34bd60949327634ab613d.jpg,1.6702646255211004,18_png.rf.deca17bfe3ef6a0738238319d1dcdd71.jpg,0.20494993031024933
