query_name,cnn_topview_rank1_name,cnn_topview_rank1_score,cnn_topview_rank2_name,cnn_topview_rank2_score,cnn_topview_rank3_name,cnn_topview_rank3_score,cnn_topview_rank4_name,cnn_topview_rank4_score,cnn_topview_rank5_name,cnn_topview_rank5_score
107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,24f_png.rf.ee5f961ec533993bb9907fa09380d92a.jpg,0.994697,88_png.rf.b58437827b6f9fab3cebf868795b9e21.jpg,0.993554,21f_png.rf.1d0b1d461f995224e4dda334c1e6a20c.jpg,0.992866,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.991567,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.990364
111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,161_png.rf.2436f2b0f85b3351121e334fce1ae80c.jpg,0.992308,122_png.rf.7df85841dad9a1f2d79c7f510f562052.jpg,0.991538,15a_png.rf.d7f7746ea5afb68e6b42346c4990fa43.jpg,0.990619,80_png.rf.6c9e5b41ab30f9b3891c82322220421c.jpg,0.990604,3f_png.rf.81c7e132365ef95bb19380ca389025f6.jpg,0.990459
115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,146_png.rf.8c716f42d6929f1b4c27cbfde0544e05.jpg,0.994955,105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,0.994577,41_png.rf.1b958373ee00ad9b6c72ccde65ac6c44.jpg,0.99455,42_png.rf.c6be4b18ac2a7d7c6e71b98132d5b411.jpg,0.993743,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.993379
118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.992994,82_png.rf.d084be48b241d855d5a48b16f9595b2a.jpg,0.990908,84_png.rf.ce54014b2da8c78d7c8d54001ffdf576.jpg,0.990393,89_png.rf.f6d530aecfb9a6a925bb6db4a606a529.jpg,0.989298,129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,0.988762
134_png.rf.eafc70891a991c969df70bd817a63375.jpg,17t_png.rf.a8ac8e7a7eacab92e5eeafd4bec778c9.jpg,0.995713,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.995417,138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,0.994295,13t_png.rf.6106fd96f4902de298dac63ac73ac264.jpg,0.994219,147_png.rf.f75092db32c867f5974bd801ebff4919.jpg,0.993485
136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,21t_png.rf.23503211ec11166ceb013315fc5d8c4c.jpg,0.99609,20t_png.rf.9c3224a237aafafb9884ca7c91a4ddb3.jpg,0.994831,15t_png.rf.0c6ff91ce5b83c01c4f9b1acefae2d71.jpg,0.992661,19t_png.rf.379beff6ca036f9dfee92873c63e1c91.jpg,0.992569,159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,0.992353
140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,22f_png.rf.5f4dedb3e61ea2ced7d183a74035d313.jpg,0.992853,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.992037,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.990958,18a_png.rf.6fd1e6c4251554864ca626ac2595e32d.jpg,0.989596,76_png.rf.c2154cf087f65699b7b490adbae0b965.jpg,0.988375
144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.999948,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.997472,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.99688,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.996683,9t_png.rf.9fed287c2c696d2899ea436ef7e3d20d.jpg,0.995641
181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,8_png.rf.00b44beea89152bdea072ac458c5ec85.jpg,0.971992,51_png.rf.6cd3806d5bbf3bb4c08aa71f88200357.jpg,0.966416,99_png.rf.980b3b82bd6f61bc422a234a44e95383.jpg,0.964036,32_png.rf.1edd41098eb074d061f00c09470d90cf.jpg,0.963354,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.962631
185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,8_png.rf.00b44beea89152bdea072ac458c5ec85.jpg,0.993029,190_png.rf.24ed612fdc752703c31861be4bc95545.jpg,0.991112,12f_png.rf.5a7e571b0b0c0eef39ae35682db8394f.jpg,0.988053,12t_png.rf.80855510c9a4d8a3a88e103ed8baeeb7.jpg,0.981264,61_png.rf.fcb03285eaaa0805f6a53443b10cd4fe.jpg,0.980093
