query_name,vit_topview_rank1_name,vit_topview_rank1_score,vit_topview_rank2_name,vit_topview_rank2_score,vit_topview_rank3_name,vit_topview_rank3_score,vit_topview_rank4_name,vit_topview_rank4_score,vit_topview_rank5_name,vit_topview_rank5_score
107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.974142,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.973559,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.968841,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.967926,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.958744
111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,187_png.rf.b5c19d9e137330a99f4a5885ac5c7d73.jpg,0.910158,164_png.rf.adf1d66e8c2fa71261ca3f1d6852fa16.jpg,0.906423,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.90572,183_png.rf.e95dd6384d920b9bc1a7360580bc06d0.jpg,0.89862,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,0.897034
115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,146_png.rf.8c716f42d6929f1b4c27cbfde0544e05.jpg,0.953388,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.935701,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.930905,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.928912,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.924908
118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.923573,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.920256,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,0.917453,161_png.rf.2436f2b0f85b3351121e334fce1ae80c.jpg,0.904001,122_png.rf.7df85841dad9a1f2d79c7f510f562052.jpg,0.903594
134_png.rf.eafc70891a991c969df70bd817a63375.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.97179,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.969936,127_png.rf.9f6501b0ba0e856cf6dd9e59f65ce574.jpg,0.967178,25t_png.rf.28a806c6e73dff70dbdafd6d5343f0ff.jpg,0.960115,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,0.95954
136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.976709,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.967945,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.966265,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.960304,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.960209
140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.971079,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.957247,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.955617,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.954633,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.94979
144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.995179,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.977469,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.974788,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.964446,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.964207
181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.623636,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.577478,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.574049,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.55796,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.517833
185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,93_png.rf.e4404052301ebc4f485e978401b476d2.jpg,0.795032,182_png.rf.55cbb79bf5ed24435f284153cd02ac6b.jpg,0.77254,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.767162,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.766818,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.765868
