query_name,ssim_rank1_name,ssim_rank1_score,ssim_rank2_name,ssim_rank2_score,ssim_rank3_name,ssim_rank3_score,ssim_rank4_name,ssim_rank4_score,ssim_rank5_name,ssim_rank5_score
107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,0.862954,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.845277,105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,0.843455,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.838683,158_png.rf.26ee57b4f05c15fe87b27ed170cd79b2.jpg,0.835924
111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,139_png.rf.3b1d0480bfeb169028854cb472ea5f25.jpg,0.689774,93_png.rf.e4404052301ebc4f485e978401b476d2.jpg,0.688778,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.675735,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.672606,173_png.rf.f39ff7cc18819e237dd9a08f84c71d40.jpg,0.666676
115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.76945,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.756006,12t_png.rf.80855510c9a4d8a3a88e103ed8baeeb7.jpg,0.747286,24t_png.rf.736be6ec774d58d37397d1d1675e4fb9.jpg,0.742141,18t_png.rf.52573d3d561f4ef4c73fbcc5a0d18752.jpg,0.739685
118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,165_png.rf.24adc446423ba35cdbff16ccaffc9785.jpg,0.859851,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.829807,156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,0.815519,179_png.rf.61fcb6e012295881e5f82e05b6d15283.jpg,0.758238,161_png.rf.2436f2b0f85b3351121e334fce1ae80c.jpg,0.757931
134_png.rf.eafc70891a991c969df70bd817a63375.jpg,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,0.923232,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.921091,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.917203,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.915446,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.910885
136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,137_png.rf.bbe9edbb99cbe83b2d718df3122d9344.jpg,0.964017,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.923113,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,0.922399,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.919104,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.91652
140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,0.927455,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.91571,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.886717,121_png.rf.782a44b8496f239b5f996a6ed498e63a.jpg,0.883945,155_png.rf.f3ae78698646b2d6f43fe88d2d1752f4.jpg,0.878368
144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.985178,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,0.91934,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.910137,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.90906,137_png.rf.bbe9edbb99cbe83b2d718df3122d9344.jpg,0.908839
181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.64962,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.62321,18t_png.rf.52573d3d561f4ef4c73fbcc5a0d18752.jpg,0.617356,12t_png.rf.80855510c9a4d8a3a88e103ed8baeeb7.jpg,0.615477,156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,0.614593
185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,173_png.rf.f39ff7cc18819e237dd9a08f84c71d40.jpg,0.844629,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.843917,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.829596,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,0.818565,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.80823
