query_name,resnet_topview_rank1_name,resnet_topview_rank1_score,resnet_topview_rank2_name,resnet_topview_rank2_score,resnet_topview_rank3_name,resnet_topview_rank3_score,resnet_topview_rank4_name,resnet_topview_rank4_score,resnet_topview_rank5_name,resnet_topview_rank5_score
107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.949619,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.948945,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.944242,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.940092,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.937346
111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.899024,5a_png.rf.bae1d48b3d2d96a990799b836ecebcbb.jpg,0.879698,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,0.876319,139_png.rf.3b1d0480bfeb169028854cb472ea5f25.jpg,0.874895,164_png.rf.adf1d66e8c2fa71261ca3f1d6852fa16.jpg,0.868978
115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,146_png.rf.8c716f42d6929f1b4c27cbfde0544e05.jpg,0.912747,152_png.rf.278ae564b1c981f43016889a9c3240e6.jpg,0.894584,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.892686,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.892223,105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,0.889554
118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,122_png.rf.7df85841dad9a1f2d79c7f510f562052.jpg,0.866933,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.82983,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.828104,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.822722,1a_png.rf.17bf9820312efff2213b1d1b08ffad66.jpg,0.822699
134_png.rf.eafc70891a991c969df70bd817a63375.jpg,23t_png.rf.f9c0505fe9f3c1f4d088ff99d4625b48.jpg,0.974811,8t_png.rf.a49c210a8d59660de79ffdb07d55a6f6.jpg,0.96775,42_png.rf.c6be4b18ac2a7d7c6e71b98132d5b411.jpg,0.961507,21t_png.rf.23503211ec11166ceb013315fc5d8c4c.jpg,0.959938,25t_png.rf.28a806c6e73dff70dbdafd6d5343f0ff.jpg,0.959291
136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.973934,23_png.rf.16eca710aad8f132510abb5de8930fc0.jpg,0.968825,138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,0.968729,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.968004,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.966572
140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.973727,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.959464,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.954198,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.951528,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.945121
144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.996705,25t_png.rf.28a806c6e73dff70dbdafd6d5343f0ff.jpg,0.983211,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.979182,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.976469,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.972355
181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.704781,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.702142,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,0.644856,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.642756,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.622892
185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.768186,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.747351,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,0.739088,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.736217,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,0.731073
1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,189_png.rf.35e0d3792b1aa85a1a2e55167fd0d8c5.jpg,0.859668,7_png.rf.3ff9087c873d2ff25e8d5c120bb417e8.jpg,0.849961,5_png.rf.83aee7ccd4569a48f90641b7606818c5.jpg,0.777868,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.761048,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.755775
21_png.rf.14a3f0eb3df1717c54de3445f3988524.jpg,7f_png.rf.4c4c0c1f3dbe608fab29a732857d2927.jpg,0.94001,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.939947,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.936115,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.931994,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.930181
26_png.rf.58fd63888dc80d24e902a96995a31656.jpg,25_png.rf.7e8991bbc403d6fbe9b9e6877ce5f38a.jpg,0.959786,1t_png.rf.4e6421a849d36687701eb5b4187ff417.jpg,0.93713,36_png.rf.0335463c111a76dc82384e5664c969ca.jpg,0.935611,30_png.rf.e72e10b42198e1de89cc63429368e384.jpg,0.926376,24t_png.rf.736be6ec774d58d37397d1d1675e4fb9.jpg,0.91349
27_png.rf.b66e7ecbfb20811de556a247f42c24ec.jpg,152_png.rf.278ae564b1c981f43016889a9c3240e6.jpg,0.936522,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.934749,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.933037,3f_png.rf.81c7e132365ef95bb19380ca389025f6.jpg,0.92959,7f_png.rf.4c4c0c1f3dbe608fab29a732857d2927.jpg,0.924607
38_png.rf.5f7178d32f8c80830acba72ceaa53c52.jpg,51_png.rf.6cd3806d5bbf3bb4c08aa71f88200357.jpg,0.932612,33_png.rf.297fe8781d6a91fb415a3483e34b5d6d.jpg,0.926082,43_png.rf.68ae08a017d1928a4cef37867a7f3231.jpg,0.918784,50_png.rf.383e95718229d46e0da9d8f13dff24d6.jpg,0.916849,10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,0.912547
49_png.rf.34dd21e67336cfaacfc62268433a9c2d.jpg,74_png.rf.d4457ce90ae63f42842e5cc1f35d9425.jpg,0.990052,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.971327,25t_png.rf.28a806c6e73dff70dbdafd6d5343f0ff.jpg,0.971173,8t_png.rf.a49c210a8d59660de79ffdb07d55a6f6.jpg,0.970387,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.970028
52_png.rf.d9ef7051544ef241be7a8134959f3411.jpg,53_png.rf.855b0f59076e870a81b9fa99f43590a7.jpg,0.984925,57_png.rf.03d3722260858e9a17b3a16291bd0103.jpg,0.959843,85_png.rf.92386fd10cea05180773e53215694d52.jpg,0.94837,65_png.rf.a963145e1b7dbd2a2dfc63cdecb0cbf2.jpg,0.934768,13_png.rf.6997e656c43b72e712856bc7557bedf9.jpg,0.933491
58_png.rf.b94027c8488125d21180dde164fc71f6.jpg,56_png.rf.d816086571a6166985bd89660706de3c.jpg,0.934542,33_png.rf.297fe8781d6a91fb415a3483e34b5d6d.jpg,0.921635,51_png.rf.6cd3806d5bbf3bb4c08aa71f88200357.jpg,0.9157,78_png.rf.e4113b07a8da6a1795e7bb7519fab19a.jpg,0.915545,50_png.rf.383e95718229d46e0da9d8f13dff24d6.jpg,0.906308
94_png.rf.914de818a4ff0d086b7cb41abc8b95fd.jpg,2a_png.rf.d8a574394a3499846384d0e2f5162459.jpg,0.742439,8a_png.rf.d4bd36f20fb980c22c7f33948a375e2a.jpg,0.585409,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.566951,176_png.rf.efe1d54c6d6afc77df454c854179fe54.jpg,0.438658,3_png.rf.3623643d6ea770476054dcbc18ec4da8.jpg,0.300506
9_png.rf.3a4164e5647feea77eb3062be7e65aea.jpg,0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,0.802127,95_png.rf.03182e61750c77320a1463bb756ed0cf.jpg,0.801413,168_png.rf.9624724987837b5f2876222d5229cbb0.jpg,0.674233,99_png.rf.980b3b82bd6f61bc422a234a44e95383.jpg,0.649242,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.63365
