query_name,mse_rank1_name,mse_rank1_score,mse_rank2_name,mse_rank2_score,mse_rank3_name,mse_rank3_score,mse_rank4_name,mse_rank4_score,mse_rank5_name,mse_rank5_score
107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,158_png.rf.26ee57b4f05c15fe87b27ed170cd79b2.jpg,-512.714111,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,-519.552063,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,-532.747559,116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,-533.827087,105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,-546.033264
111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,139_png.rf.3b1d0480bfeb169028854cb472ea5f25.jpg,-1111.920532,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,-1209.699341,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,-1225.816162,173_png.rf.f39ff7cc18819e237dd9a08f84c71d40.jpg,-1227.251831,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,-1277.254639
115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,-629.135681,126_png.rf.e6e489914c00e5b8f70f174d0e305e25.jpg,-781.981384,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,-1084.282715,12t_png.rf.80855510c9a4d8a3a88e103ed8baeeb7.jpg,-1097.139893,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,-1099.875732
118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,165_png.rf.24adc446423ba35cdbff16ccaffc9785.jpg,-298.163605,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,-589.704529,156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,-600.496399,122_png.rf.7df85841dad9a1f2d79c7f510f562052.jpg,-788.722351,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,-803.709778
134_png.rf.eafc70891a991c969df70bd817a63375.jpg,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,-127.988976,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,-134.508331,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,-138.449203,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,-139.653687,147_png.rf.f75092db32c867f5974bd801ebff4919.jpg,-153.128006
136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,137_png.rf.bbe9edbb99cbe83b2d718df3122d9344.jpg,-49.516266,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,-132.053467,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,-135.074936,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,-139.408508,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,-142.883286
140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,-208.895935,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,-219.092224,121_png.rf.782a44b8496f239b5f996a6ed498e63a.jpg,-396.614441,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,-398.330078,155_png.rf.f3ae78698646b2d6f43fe88d2d1752f4.jpg,-409.897003
144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,-11.01284,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,-137.463303,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,-149.001053,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,-149.476517,159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,-154.087128
181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,-2084.038818,15a_png.rf.d7f7746ea5afb68e6b42346c4990fa43.jpg,-2184.631592,173_png.rf.f39ff7cc18819e237dd9a08f84c71d40.jpg,-2272.887695,156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,-2318.172852,18a_png.rf.6fd1e6c4251554864ca626ac2595e32d.jpg,-2335.401855
185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,-459.632416,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,-476.018951,173_png.rf.f39ff7cc18819e237dd9a08f84c71d40.jpg,-480.630066,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,-560.413879,183_png.rf.e95dd6384d920b9bc1a7360580bc06d0.jpg,-616.904663
