query_idx,query_name,triplet_rank1_name,triplet_rank1_score,triplet_rank2_name,triplet_rank2_score,triplet_rank3_name,triplet_rank3_score,triplet_rank4_name,triplet_rank4_score,triplet_rank5_name,triplet_rank5_score
0,107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.9731203317642212,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.9721589684486389,146_png.rf.8c716f42d6929f1b4c27cbfde0544e05.jpg,0.9650551676750183,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.9648565053939819,114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,0.9638401865959167
1,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,171_png.rf.e0f78688a6d730302708d2eec60a4bdf.jpg,0.9599100947380066,139_png.rf.3b1d0480bfeb169028854cb472ea5f25.jpg,0.9571200013160706,5a_png.rf.bae1d48b3d2d96a990799b836ecebcbb.jpg,0.9561837911605835,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.9537891149520874,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.953484833240509
2,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.9851027131080627,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.9734936356544495,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.971551775932312,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.9691923260688782,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.9669693112373352
3,118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.9720172882080078,166_png.rf.2a5fbe9b778584d26692a480bda6f22a.jpg,0.9672738909721375,164_png.rf.adf1d66e8c2fa71261ca3f1d6852fa16.jpg,0.9639435410499573,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.9637807011604309,178_png.rf.5087fa5324451e07d2ed4f3d0e39b8e7.jpg,0.9610921740531921
4,134_png.rf.eafc70891a991c969df70bd817a63375.jpg,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9823502898216248,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.9805607795715332,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,0.9775949120521545,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.9772065877914429,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9752391576766968
5,136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.9778311252593994,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.9711397886276245,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9710651636123657,147_png.rf.f75092db32c867f5974bd801ebff4919.jpg,0.9707779288291931,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,0.9668681621551514
6,140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.9737341403961182,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.9731236100196838,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.971731424331665,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.9714003205299377,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.9699386358261108
7,144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.9839199185371399,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.980069637298584,159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,0.9785171747207642,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.9774289131164551,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.9771938323974609
8,181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.9524985551834106,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.9442470669746399,178_png.rf.5087fa5324451e07d2ed4f3d0e39b8e7.jpg,0.9354418516159058,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.925712525844574,129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,0.9252740740776062
9,185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.9559032917022705,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.9530741572380066,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.948398232460022,188_png.rf.817e806abd4f5edc9588cc0dbf1a8616.jpg,0.9476422071456909,160_png.rf.6f41e2456edd6888c9fae22813acc55e.jpg,0.9436887502670288
