query_idx,query_name,mv_rank1_name,mv_rank1_score,mv_rank2_name,mv_rank2_score,mv_rank3_name,mv_rank3_score,mv_rank4_name,mv_rank4_score,mv_rank5_name,mv_rank5_score
0,107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,0.8818507194519043,7f_png.rf.4c4c0c1f3dbe608fab29a732857d2927.jpg,0.7580651044845581,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.740429162979126,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.7309616804122925,21f_png.rf.1d0b1d461f995224e4dda334c1e6a20c.jpg,0.7307995557785034
1,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,171_png.rf.e0f78688a6d730302708d2eec60a4bdf.jpg,0.8028550148010254,20a_png.rf.a3aea3e21d9ff672c555eaa2dcd6c945.jpg,0.7728143334388733,93_png.rf.e4404052301ebc4f485e978401b476d2.jpg,0.7703032493591309,129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,0.767688512802124,151_png.rf.dded9697689a87303c84573468e354a9.jpg,0.7631083726882935
2,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,0.7790927886962891,105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,0.7685832977294922,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.7670158743858337,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.7627674341201782,7f_png.rf.4c4c0c1f3dbe608fab29a732857d2927.jpg,0.757421612739563
3,118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,166_png.rf.2a5fbe9b778584d26692a480bda6f22a.jpg,0.8040289878845215,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.8021542429924011,179_png.rf.61fcb6e012295881e5f82e05b6d15283.jpg,0.7829694747924805,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.7746278643608093,169_png.rf.db5c4e716dac3be45044ffb904f0202d.jpg,0.7738653421401978
4,134_png.rf.eafc70891a991c969df70bd817a63375.jpg,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.8192315101623535,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.798614501953125,147_png.rf.f75092db32c867f5974bd801ebff4919.jpg,0.7979027628898621,21t_png.rf.23503211ec11166ceb013315fc5d8c4c.jpg,0.7637812495231628,138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,0.7505239248275757
5,136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,0.8050532341003418,3t_png.rf.24d7be26d05ffb22bd6af95f0e28b99c.jpg,0.7814432382583618,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,0.7645307779312134,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.7616286873817444,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.7497923374176025
6,140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.8835816383361816,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.8109449744224548,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.7701770067214966,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.7695666551589966,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.7523494362831116
7,144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.9779528379440308,10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,0.717924952507019,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.697256326675415,159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,0.6897368431091309,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,0.6783298254013062
8,181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.8394771218299866,178_png.rf.5087fa5324451e07d2ed4f3d0e39b8e7.jpg,0.786636233329773,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.7831346392631531,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.7582306861877441,188_png.rf.817e806abd4f5edc9588cc0dbf1a8616.jpg,0.7513556480407715
9,185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,187_png.rf.b5c19d9e137330a99f4a5885ac5c7d73.jpg,0.8173547387123108,180_png.rf.d95ed08408ababb588c6d1af919a1ba5.jpg,0.7860708236694336,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.7788085341453552,179_png.rf.61fcb6e012295881e5f82e05b6d15283.jpg,0.7785664796829224,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.7683607935905457
10,1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,92_png.rf.5436107fa80a186911267011f1bad05e.jpg,0.9058464169502258,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.8825264573097229,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.8816988468170166,189_png.rf.35e0d3792b1aa85a1a2e55167fd0d8c5.jpg,0.6774915456771851,99_png.rf.980b3b82bd6f61bc422a234a44e95383.jpg,0.6648199558258057
