image,split,n_balls,min_ratio,avg_ratio
0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,train,8,0.5960994519193353,1.075216303640648
100_png.rf.1d10e5312c53cc3fb4e0bf319dd466ba.jpg,train,11,1.150354890569716,2.6295873953407334
102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,train,10,1.1680175325444377,2.4540813129656094
103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,train,13,1.2782818099257474,2.214859978306571
104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,train,7,3.632594324357693,5.180592427764329
105_png.rf.ea359f2dfa667da92e30a8ceeefe7e62.jpg,train,14,0.829961903704112,2.214590221811232
106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,train,10,0.9445557481454818,1.3511932571629992
108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,train,16,0.6914190372931254,1.972863475759621
109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,train,16,0.5266008962202534,0.8746949117961889
10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,train,10,0.7261392310767825,2.7172138031495785
10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,train,12,0.6750816153453227,2.131379345501726
10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,train,12,1.745429576716104,3.3918079592912456
110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,train,2,6.322514067856992,6.322514067856992
112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,train,16,1.553375572253185,3.458161804965363
113_png.rf.5843d20115f51d7d26f2cf52734504d3.jpg,train,15,0.6047814982299472,2.4639976676992115
114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,train,16,0.9941099344999822,1.9483584591638408
116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,train,16,0.49823865044628596,0.9688347981654112
117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,train,9,2.0309771322628922,3.1412323121109953
119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,train,9,0.7627034299454669,3.074423313022792
11_png.rf.6b73a508e3eafaac95768aae9325dabc.jpg,train,10,1.0349079791868079,2.6534778569674358
11f_png.rf.eb0169eccfb6b264a582491457ff37b6.jpg,train,3,3.3865341228298766,5.115359651488983
11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,train,3,3.466849251096623,9.76131818969641
120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,train,15,0.7449019460826717,2.1307282667234295
122_png.rf.7df85841dad9a1f2d79c7f510f562052.jpg,train,16,0.4074820863930074,1.8389693473609938
123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,train,13,0.5267294238481371,1.5086801206675882
124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,train,16,1.2587333529215015,2.8997394228890463
125_png.rf.746e605d23baaa43560542b8554b714c.jpg,train,16,1.240995044581402,2.889113377238638
127_png.rf.9f6501b0ba0e856cf6dd9e59f65ce574.jpg,train,16,0.8648038459222963,2.448488239591917
128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,train,10,1.5945591736939053,2.5599415042051827
129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,train,9,1.5297257348581148,3.2559035220643295
12_png.rf.9071d30b04e7162eeae5abb28b0ff82c.jpg,train,14,0.6812673128864337,2.813104487139101
12f_png.rf.5a7e571b0b0c0eef39ae35682db8394f.jpg,train,5,1.946912101396908,2.679825963200689
12t_png.rf.80855510c9a4d8a3a88e103ed8baeeb7.jpg,train,5,4.032689100933833,5.012264108081786
130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,train,12,1.6050003675115874,2.438563159536426
131_png.rf.593310c39f8835ed0786033b6690de45.jpg,train,12,1.6483526078200457,3.9985004699121944
